lemma,1830,1840,1850,sum
[AWAIT],252.0,246.0,268.0,766.0
[FANCY],209.0,288.0,269.0,766.0
[INTERRUPT],276.0,297.0,191.0,764.0
[REMIND],265.0,254.0,244.0,763.0
[CONVERT],229.0,258.0,274.0,761.0
[VARY],229.0,226.0,296.0,751.0
[ASCEND],226.0,254.0,270.0,750.0
[ASSIGN],284.0,244.0,219.0,747.0
[CONDEMN],255.0,242.0,246.0,743.0
[STIR],278.0,248.0,213.0,739.0
[BURST],270.0,240.0,225.0,735.0
[CHERISH],259.0,235.0,241.0,735.0
[PUSH],188.0,219.0,327.0,734.0
[INJURE],303.0,208.0,218.0,729.0
[INDULGE],274.0,220.0,235.0,729.0
[BOIL],567.0,79.0,82.0,728.0
[FLEE],185.0,294.0,243.0,722.0
[DISCHARGE],271.0,223.0,227.0,721.0
[SCATTER],207.0,255.0,253.0,715.0
[SAIL],204.0,257.0,251.0,712.0
[GUESS],335.0,179.0,197.0,711.0
[SITUATE],313.0,225.0,172.0,710.0
[ENCOUNTER],242.0,244.0,223.0,709.0
[COMPLAIN],275.0,226.0,208.0,709.0
[WEEP],231.0,271.0,204.0,706.0
[BOW],229.0,222.0,253.0,704.0
[ENFORCE],226.0,235.0,241.0,702.0
[EXHAUST],219.0,210.0,272.0,701.0
[RECOLLECT],327.0,199.0,174.0,700.0
[WHISPER],223.0,221.0,251.0,695.0
[STRENGTHEN],199.0,274.0,222.0,695.0
[ELEVATE],242.0,227.0,225.0,694.0
[INVEST],274.0,187.0,233.0,694.0
[APPRECIATE],212.0,203.0,278.0,693.0
[SUBJECT],202.0,261.0,227.0,690.0
[EDUCATE],208.0,255.0,227.0,690.0
[STEP],202.0,215.0,272.0,689.0
[AUTHORIZE],322.0,177.0,189.0,688.0
[DREAM],177.0,254.0,256.0,687.0
[LEND],272.0,186.0,228.0,686.0
[OVERCOME],187.0,285.0,213.0,685.0
[ALTER],245.0,243.0,191.0,679.0
[EXCHANGE],236.0,155.0,283.0,674.0
[DECLINE],268.0,210.0,195.0,673.0
[INTERFERE],209.0,216.0,244.0,669.0
[MIX],306.0,183.0,179.0,668.0
[GUIDE],201.0,240.0,226.0,667.0
[OPERATE],269.0,226.0,172.0,667.0
[REPORT],239.0,207.0,220.0,666.0
[ORGANIZE],220.0,256.0,190.0,666.0
[INFLICT],228.0,227.0,209.0,664.0
[GRATIFY],252.0,197.0,214.0,663.0
[SURPRISE],210.0,220.0,232.0,662.0
[CONSUME],184.0,232.0,246.0,662.0
[HONOR],174.0,221.0,265.0,660.0
[PROFESS],254.0,209.0,197.0,660.0
[INSTRUCT],249.0,200.0,210.0,659.0
[DECEIVE],229.0,230.0,198.0,657.0
[RELY],221.0,196.0,238.0,655.0
[HESITATE],230.0,201.0,224.0,655.0
[CORRECT],256.0,215.0,183.0,654.0
[RESTRAIN],218.0,220.0,215.0,653.0
[IMPART],179.0,224.0,249.0,652.0
