TextId,WordCount,Genre,Year
420773,2129,MAG,1990
420774,4136,MAG,1990
420775,1354,MAG,1990
420776,2497,MAG,1990
420777,1521,MAG,1990
420778,1635,MAG,1990
420779,1581,MAG,1990
420780,1722,MAG,1990
420787,4926,MAG,1990
387444,1719,MAG,1990
387445,2328,MAG,1990
387446,2342,MAG,1990
387447,6610,MAG,1990
387544,1405,MAG,1990
387545,2018,MAG,1990
387546,1460,MAG,1990
386204,3098,MAG,1990
386205,2452,MAG,1990
386206,3768,MAG,1990
386207,2450,MAG,1990
386208,1544,MAG,1990
386209,5163,MAG,1990
386210,1248,MAG,1990
339761,471,MAG,1990
339762,524,MAG,1990
339763,486,MAG,1990
339764,533,MAG,1990
339765,463,MAG,1990
339766,507,MAG,1990
339767,412,MAG,1990
339768,485,MAG,1990
339769,331,MAG,1990
339770,411,MAG,1990
339771,540,MAG,1990
339860,407,MAG,1990
339861,531,MAG,1990
339862,179,MAG,1990
339863,169,MAG,1990
339864,122,MAG,1990
339865,149,MAG,1990
339866,145,MAG,1990
339867,451,MAG,1990
339868,515,MAG,1990
339869,507,MAG,1990
339870,483,MAG,1990
339960,143,MAG,1990
339961,162,MAG,1990
339962,159,MAG,1990
339963,166,MAG,1990
339964,525,MAG,1990
339965,477,MAG,1990
339966,140,MAG,1990
339967,172,MAG,1990
339968,273,MAG,1990
339969,133,MAG,1990
339970,162,MAG,1990
340060,508,MAG,1990
340061,553,MAG,1990
340062,122,MAG,1990
340063,149,MAG,1990
340064,163,MAG,1990
340065,129,MAG,1990
340066,164,MAG,1990
340067,270,MAG,1990
340068,462,MAG,1990
340069,524,MAG,1990
340070,518,MAG,1990
340159,414,MAG,1990
340160,518,MAG,1990
340161,516,MAG,1990
340162,519,MAG,1990
340163,496,MAG,1990
340164,150,MAG,1990
340165,136,MAG,1990
340166,138,MAG,1990
340167,177,MAG,1990
340168,144,MAG,1990
340258,485,MAG,1990
340259,524,MAG,1990
340260,493,MAG,1990
340261,526,MAG,1990
340262,2,MAG,1990
340263,411,MAG,1990
340264,473,MAG,1990
340265,335,MAG,1990
340266,444,MAG,1990
340267,526,MAG,1990
340268,482,MAG,1990
340358,245,MAG,1990
340359,514,MAG,1990
340360,148,MAG,1990
340361,434,MAG,1990
340362,136,MAG,1990
340363,478,MAG,1990
340364,495,MAG,1990
340365,367,MAG,1990
340366,435,MAG,1990
340367,420,MAG,1990
340368,544,MAG,1990
340458,568,MAG,1990
340459,500,MAG,1990
340460,385,MAG,1990
340461,492,MAG,1990
340462,453,MAG,1990
340463,448,MAG,1990
340464,523,MAG,1990
340465,549,MAG,1990
340466,434,MAG,1990
340467,506,MAG,1990
340468,564,MAG,1990
340558,445,MAG,1990
340559,373,MAG,1990
340560,462,MAG,1990
340561,534,MAG,1990
340562,539,MAG,1990
340563,403,MAG,1990
340564,434,MAG,1990
340565,469,MAG,1990
340566,495,MAG,1990
340567,514,MAG,1990
340568,513,MAG,1990
340658,543,MAG,1990
340659,26,MAG,1990
340660,540,MAG,1990
340661,473,MAG,1990
340662,35,MAG,1990
340663,381,MAG,1990
340664,507,MAG,1990
340665,499,MAG,1990
340666,357,MAG,1990
340667,413,MAG,1990
340668,507,MAG,1990
340758,64,MAG,1990
340759,139,MAG,1990
340760,89,MAG,1990
340761,108,MAG,1990
340762,101,MAG,1990
340763,120,MAG,1990
340764,449,MAG,1990
340765,496,MAG,1990
340766,512,MAG,1990
340767,32,MAG,1990
340768,458,MAG,1990
340858,302,MAG,1990
340859,442,MAG,1990
340860,161,MAG,1990
340861,132,MAG,1990
340862,121,MAG,1990
340863,133,MAG,1990
340864,129,MAG,1990
340865,578,MAG,1990
340866,463,MAG,1990
340867,486,MAG,1990
340868,512,MAG,1990
340958,446,MAG,1990
340959,422,MAG,1990
340960,29,MAG,1990
340961,38,MAG,1990
340962,507,MAG,1990
340963,33,MAG,1990
340964,513,MAG,1990
340965,524,MAG,1990
340966,220,MAG,1990
340967,480,MAG,1990
340968,392,MAG,1990
341058,486,MAG,1990
341059,571,MAG,1990
341060,522,MAG,1990
341061,355,MAG,1990
341062,63,MAG,1990
341063,95,MAG,1990
341064,117,MAG,1990
341065,92,MAG,1990
341066,110,MAG,1990
341067,98,MAG,1990
341068,38,MAG,1990
341158,33,MAG,1990
341159,211,MAG,1990
341160,168,MAG,1990
341161,187,MAG,1990
341162,162,MAG,1990
341163,531,MAG,1990
341164,522,MAG,1990
341165,460,MAG,1990
341166,512,MAG,1990
341167,123,MAG,1990
341168,154,MAG,1990
341258,88,MAG,1990
341259,537,MAG,1990
341260,501,MAG,1990
341261,544,MAG,1990
341262,101,MAG,1990
341263,82,MAG,1990
341264,102,MAG,1990
341265,541,MAG,1990
341266,458,MAG,1990
341267,56,MAG,1990
341358,155,MAG,1990
341359,147,MAG,1990
341360,505,MAG,1990
341361,494,MAG,1990
341362,512,MAG,1990
341363,514,MAG,1990
341364,528,MAG,1990
341365,147,MAG,1990
341366,214,MAG,1990
341367,340,MAG,1990
341368,167,MAG,1990
341458,172,MAG,1990
341459,419,MAG,1990
341460,192,MAG,1990
341461,172,MAG,1990
341462,118,MAG,1990
341463,145,MAG,1990
341464,143,MAG,1990
341465,477,MAG,1990
341466,68,MAG,1990
341467,521,MAG,1990
341468,430,MAG,1990
341558,176,MAG,1990
341559,315,MAG,1990
341560,456,MAG,1990
341561,491,MAG,1990
341562,459,MAG,1990
341563,446,MAG,1990
341564,395,MAG,1990
341565,473,MAG,1990
341566,48,MAG,1990
341567,320,MAG,1990
341568,542,MAG,1990
341658,467,MAG,1990
341659,161,MAG,1990
341660,121,MAG,1990
341661,472,MAG,1990
341662,105,MAG,1990
341663,487,MAG,1990
341664,344,MAG,1990
341665,337,MAG,1990
341666,463,MAG,1990
341667,362,MAG,1990
341668,468,MAG,1990
341758,486,MAG,1990
341759,42,MAG,1990
341760,468,MAG,1990
341761,450,MAG,1990
341762,427,MAG,1990
341763,59,MAG,1990
341764,502,MAG,1990
341765,436,MAG,1990
341766,512,MAG,1990
341767,543,MAG,1990
341768,90,MAG,1990
341858,124,MAG,1990
341859,221,MAG,1990
341860,478,MAG,1990
341861,46,MAG,1990
341862,531,MAG,1990
341863,523,MAG,1990
341864,501,MAG,1990
341865,129,MAG,1990
341866,130,MAG,1990
